iter	F1	Logloss
0	0.6037680855	0.6728107123
1	0.5914597499	0.6545970288
2	0.5926249079	0.6369673097
3	0.5985866697	0.6217407948
4	0.5926249079	0.6074666529
5	0.5922009956	0.5945699252
6	0.5926249079	0.5820473617
7	0.5926249079	0.571131504
8	0.5926249079	0.561040826
9	0.590186108	0.5513445356
10	0.590186108	0.5432211447
11	0.5897627788	0.5361698484
12	0.5926249079	0.5289872849
13	0.5930494276	0.5217298312
14	0.5930494276	0.5154263777
15	0.5926249079	0.5100525767
16	0.5926249079	0.5047143504
17	0.5926249079	0.5001768737
18	0.5926249079	0.4955508067
19	0.5926249079	0.4914530783
20	0.5926249079	0.4881756866
21	0.5926249079	0.484285202
22	0.5926249079	0.4820055862
23	0.5926249079	0.4787281774
24	0.5926249079	0.4759528198
25	0.5926249079	0.473563988
26	0.5922009956	0.4709257567
27	0.5946258709	0.4683173135
28	0.5950503537	0.4659360647
29	0.5950503537	0.463798069
30	0.5950503537	0.4622466659
31	0.5950503537	0.4602320367
32	0.5946258709	0.4589851053
33	0.5950503537	0.457714751
34	0.5950503537	0.4564555731
35	0.5946258709	0.455256506
36	0.5950503537	0.4536299649
37	0.5950503537	0.4520518024
38	0.5946258709	0.4511798706
39	0.5946258709	0.4499722107
40	0.5946258709	0.4491149959
41	0.5946258709	0.4483015904
42	0.5946258709	0.4474406442
43	0.5946258709	0.4464873701
44	0.5946258709	0.4456078046
45	0.5950503537	0.4449466
46	0.5950503537	0.4441524988
47	0.5978882011	0.4434861439
48	0.5983144543	0.4426228825
49	0.5983144543	0.4420668869
50	0.6011420116	0.4414637858
51	0.6011420116	0.4408482904
52	0.6011420116	0.4403308346
53	0.6035296413	0.4396520312
54	0.603958184	0.4387917604
55	0.603958184	0.4380482644
56	0.603958184	0.4372322186
57	0.603958184	0.436881379
58	0.603958184	0.4363831387
59	0.603958184	0.4361805049
60	0.6119071928	0.4357889592
61	0.6119071928	0.4348554551
62	0.6119071928	0.4341908045
63	0.6091258664	0.4338151368
64	0.6155439716	0.4334152583
65	0.6146774178	0.4331342088
66	0.6151103895	0.4327825708
67	0.6151103895	0.4322728564
68	0.6127715687	0.4317444392
69	0.614072721	0.4311744209
70	0.614072721	0.4307352286
71	0.6172844297	0.43011285
72	0.6172844297	0.4297470135
73	0.6172844297	0.4291025773
74	0.6149432301	0.4285155306
75	0.6149432301	0.4281453666
76	0.6149432301	0.4273979045
77	0.6149432301	0.4272100292
78	0.6200500843	0.4268817052
79	0.6209261666	0.4265209346
80	0.6209261666	0.4259847396
81	0.6213651368	0.4254988267
82	0.6218047281	0.4250780542
83	0.6213651368	0.4246904029
84	0.6213651368	0.4244059052
85	0.6209261666	0.4241828345
86	0.6209261666	0.4237709287
87	0.6213651368	0.4233405448
88	0.6218047281	0.4228218774
89	0.6218047281	0.4225683461
90	0.6213651368	0.4222786158
91	0.6213651368	0.4217656533
92	0.6213651368	0.4215118374
93	0.6213651368	0.4210092463
94	0.6213651368	0.4208742239
95	0.6213651368	0.4207607236
96	0.6209261666	0.4202250748
97	0.6209261666	0.4195875999
98	0.6236829127	0.4192501762
99	0.6268697514	0.4187997504
100	0.6268697514	0.4186350769
101	0.6268697514	0.4183553764
102	0.6268697514	0.4181954474
103	0.6268697514	0.4178013983
104	0.6268697514	0.4175453448
105	0.6281967624	0.4172589644
106	0.6286403488	0.4167291446
107	0.6286403488	0.416539847
108	0.6286403488	0.4163242357
109	0.6286403488	0.41599664
110	0.6286403488	0.4158281816
111	0.6286403488	0.415317513
112	0.6295294035	0.4151290771
113	0.6299748746	0.414802383
114	0.6295294035	0.4144423245
115	0.6295294035	0.4141658431
116	0.6295294035	0.4137927431
117	0.6313150786	0.4130081338
118	0.6304209766	0.4127068923
119	0.6308677108	0.412359909
120	0.6313150786	0.4122039959
121	0.6313150786	0.4120449899
122	0.6340613768	0.4117697833
123	0.6327180379	0.4110202413
124	0.6327180379	0.4106752034
125	0.6327180379	0.4103762677
126	0.6331651847	0.4102879327
127	0.6340613768	0.4098176792
128	0.6340613768	0.4094368515
129	0.6372467576	0.4092008692
130	0.6372467576	0.4089652388
131	0.6367966761	0.4087715543
132	0.6363472299	0.4083977094
133	0.6363472299	0.4080596504
134	0.6381488321	0.4075119814
135	0.6390534641	0.4071188124
136	0.6386008277	0.4068835638
137	0.6386008277	0.4065828736
138	0.6386008277	0.4063007204
139	0.6386008277	0.4060070947
140	0.6386008277	0.4057466282
141	0.6386008277	0.4055412691
142	0.6413292813	0.4052978347
143	0.6413292813	0.4049016129
144	0.6413292813	0.4043634148
145	0.6422372408	0.4037856164
146	0.6422372408	0.4036993789
147	0.6422372408	0.40347538
148	0.6422372408	0.4032805491
149	0.6426921853	0.4029926551
